prop,option,nodes,material,thickness,width.0,width.1,width.2,height.0,height.1,height.2,category.0,category.1,category.2,category.3,nativeModel,nativeModelSettings,notes,productLink,xmodel,image.0,image.1,image.2,image.3,image.4,image.5,image.6
Alpha Letter - Box Style Font,Z,,Coro,10,,,,24,40,,Letters,,,,,,,https://gilbertengineeringusa.com/products/alpha-letters-box-style-font?_pos=1&_sid=29ae772c8&_ss=r,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/received_672155463587068_800x.png?v=1585869685,,,,,,
American Flag,,746,,,82,48,,44,,,Symbols,Signs,First Responder and Military,,,,,https://gilbertengineeringusa.com/products/american-flag?_pos=1&_sid=51a2546d5&_ss=r,American Flag.xmodel,,,,,,,
Angel,,139,,,,,,47,,,Figures,,,,,,,https://gilbertengineeringusa.com/,Angel.xmodel,,,,,,,
Angels,With Star,300,Coro,10,40,,,46,,,Figures,,,,,,,https://gilbertengineeringusa.com/products/angels?_pos=1&_sid=dda45ebbe&_ss=r,Wings-of-an-Angel (1).xmodel,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/20200503_160545_500x.jpg?v=1588547252,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/20200503_214159_500x.jpg?v=1588567399,,,,,
Angels,With Cross,300,Coro,10,40,,,46,,,Figures,,,,,,,https://gilbertengineeringusa.com/products/angels?variant=31712928596070,,,,,,,,
Angels,With Matrix,400,Coro,10,40,,,46,,,Figures,,,,,,,https://gilbertengineeringusa.com/products/angels?variant=31702975905894,,,,,,,,
Arch 4ft,Single,50,Coro,10,48,,,,,,Arches,,,,Arches,,,https://gilbertengineeringusa.com/products/arches?_pos=4&_sid=ec787bd7f&_ss=r,GE Arch.xmodel,,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/AlphaBulbs_A-Z_800x.JPG?v=1569162645,,,,,
Arch 4ft,Double,100,Coro,10,48,,,,,,Arches,,,,,,,https://gilbertengineeringusa.com/products/arches?_pos=4&_sid=ec787bd7f&_ss=r,Arch 4ft - Double.xmodel,https://cdn.shopify.com/s/files/1/0165/4439/9424/products/Arch_4_Foot_Double_Row_100.jpg?v=1579548157,,,,,,
Arch 6ft,Single,100,Coro,6,72,,,36,,,Arches,,,,Arches,,,https://gilbertengineeringusa.com/products/copy-of-arches-6ft?_pos=5&_sid=ec787bd7f&_ss=r,,,,,,,,
Arch 6ft,Double,200,Coro,6,72,,,36,,,Arches,,,,,,,https://gilbertengineeringusa.com/products/copy-of-arches-6ft?_pos=5&_sid=ec787bd7f&_ss=r,,,,,,,,
